	Unnamed: 0	doc	city	publication	date	word_count	org	identifier	wave	text_string	author	page_number	article_title
0	0	notessecondyear_70.txt	nyc	notessecondyear	1969	553	redstockings	1	2	1 1 1 1 1 10 11 2 2 2 2 3 3 3 4 5 6 7 8 9 A Analyzing Antiwomanism B Belief C Classic Cross D Daring Evaluating Examining Examining Examining Excusing Expressing Expressing False Fear Fear Fear Finding Glorification Going History How I It Ongoing Personal Personal Reasons Recalling Recognizing Relating Romantic Selfblame Selfcultivation Shunning Speaking Starting Stop Taking The The Thinking This Ultramilitancy a a a a a a a a a a a able about about about abused adequate an and and and and and and and and and and and and and and and and and and and and and and and and anyway are are are around around as as aspects assumption at at at at avoid awaken awful b b b b be be beautiful been begin beginning behind bitch bitter both buried c c cell changes class class common conditions conditions confusing consciousness consciousness consciousness consciousness consciousness consciousness consciousnessraising consciousnessraising correctly d dealing delusions despair develop different each etc examination exciting expansion experience experiences experiences experiences facing fantasies fears feeling feeling feeling feeling feelings feelings feelings feelings feelings find following for for for for for for form forms forms forrns found full future generalizing get glasses go goitalonism group group group groups groups has has has has have her her him history human hunch identification identification in in in in in in individual individualism invalid is is is is just key key large liberation lie like lives look mass mass mass meaningless men methods more more more more most most movement negative new now objective objective obstacles occurred of of of of of of of of of of of of of of of of of of of off on on on one one one one one one ones ones ones ones ones opposite oppressed oppressed oppressed oppressor oppressor oppressor or or or other other other other other others others others our our our our our our our ourselves ourselves outline overcoming own own own painful past past people perceive personal planned plus positive power power practice present present primary privileged program program questions random reality reality reasons recognition repressing repressions resisting resisting right rolecan room root rosecolored rugged same scale seclusion see seeds session sharing since situation situation situation skeleton social socially society solution sorry stage survival task testimony testimony testimony that that that that that the the the the the the the the the the the the the the the the the the the the the the their theory thepresent therefore they thinking this this those throne through throughout time time to to to to to to to to topics traditional truth us utopian valid very wanting wants wasted way weight what what what when which which which who will will wishes with with with with with without woman womans women women women women women world would		70	
1	1	chicago.cwlu_womankind.1971.11.06.txt	chicago	cwlu_womankind	1971	890	cwlu	2	2	411 93 Actually Alice American American Any As B Bogeymen Bogeymen But But Digest Digest Every Gertrude Gertrude Gertrude God Grahn Harry Harry Homosexuality I I I I I I I I I I I I If In Ironically It It It Its Judy Lesbianism Lesbians Lesbians Loving Men Most Most My No One Papas Paris Paris Readers Readers She She Some Specifically Stein Stein Stein Stein The The They This Toklas West Willets Women You You a a a a a a a a a a a a a a a a a a a a a a about about about about about act act adultress adventure affec affection afraid all all allowed allowed also also always an an and and and and and and and and and and and and and and and and and and and and another another any any anybody anyone architect are are are are are are are are are are around art artifically artists artists arts as as as as as as as ask assigned associated astonished at at at atiness attack away be be be be be be because because because been behavior being being bizarre body bogeywomen bogeywomen books born both boys boys bring builder built but but but by by came can cant cant care care castrator categories categories categorized century characteristics close close come companion considered considering cont convinced could could couldnt counterparts courage cowboys cut cutt dark day defined definition depending didnt didnt didnt dimestore disciplined discovered do do do dontfit door doubt down down dress e each ear early editors eight either eligible embarrassed episode except existence extraordinary fact fall fall fall fantasy fear female fhthers fications fidelity films find first for for for for for for forms fortunate found friendhsips friendships from from from function funeral general generally get gets girls girls give goes great group guess h had had had hair hands hands happens have have have havent having her her her her her her high history history holding home homosexual homosexuals hours house how how ideas if image in in in in in in in in in in in in in in in in in in independence influential ing instead interested into into involved involved is is isnt it it its its joined just just keep keeps kept know know know know late lesbian lesbian lesbian lesbian lesbian lesbian lesbianism lesbians lesbians lesbians less liberatio library lieve life life life life like like like line live live lived local lot love love love love love love lover loving magazines manner marine married matter may me me me means meet meeting men merchant met mind money money more mortician much mutual my my myself myths n needed never never next night night night no no normal not not note now nymphomaniac obsessed obsessed obsessed of of of of of of of of of of of of of of of of of of of off off off off old on on on once one one only openly or or or or or other other other other other our out out out out own own own page paint parlor part particular partly patron peopl people people people people people peoples pornograph1C pornographic probably probably produced reading really recognition regular relationships reluctant rest retire road running s said same sat saw school secretary see sensi separate set sex sex sex sexual she she she she she she she she should show show showing since sixteen sneaked so so so so somebody somebodys something something something speci steps still straight strange streets strongly subnatural subnatural such supernatural supernatural supernatural supported tall teased teased television television terror than that that that that that that that that that that thats the the the the the the the the the the the the the the the the the the the their themselves they they they they theyll thing think thought thought time tion tive to to to to to to to to to to to to to to to to to to told twentieth unable until us us used usually very very waiting walking wanted was was was was was was was was was was was was wasnt wasnt watching well wellknow were were were were were what what what when when when whether which who who who who who who who who who who whore whos with with with with with with with with with with with woman woman woman woman womanI women women women women womens word work work would wouldnt write writer writer wrote wrote you you you you you you you you your youre	CWLU	06	
2	2	nyc.masses_1916.04.21.txt	nyc	masses	1916	425	heterodoxy	3	1	All Anarchist Anarchist And Birth Birth Birth Chicago Control Control Control Emma Emma Emma Goldman Goldman Goldman Goldman It It It League League Margaret Meanwhile Miss Most Mrs National New New No Sanger Sanger So State THE The The The The The The This York York a a a a a a a a a a a a accordance administer affairs affording against agitated ago amenable amendments and and and and and and and and and any any anybody anything anywhere arrest arrest arrest arrest as as as assistant at attorney attorneys authorities authorities be be be became been being bills bills birth birthcontrol breaking by case case case case change change charge civilized come come control convenient courts crime decent decision delivered denominated desire desire destinites different dismissal dismissed disreputable district district do does drop emphasis enactment enlightened every federal federal federal for for for for force force form from from gives government half has has has has has have have have her imparted imparted imperatively impossible in in in in in in in in in in including indicates indictment instance intolerable is is is is is is it it it it it judges keep knowledge knowledge law law law law law laws made make moral nal not notice obscenity obscenity of of of of of of of of of of of of of of of of of of of of of of on on only opinion opinion opinion or other our out over over own pending people plot point point pointed police police possess power power prepared press pretext prohibited proposed provisions public public push quashed question reason receive recent reluctance remains remove ridiculous rule same sanction sane scope seem shall shall shall society somewhat souppoisoning speech state statute statutes subject subject such such support taken teaching that that the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the their their them this this this time time to to to to to to to to to to two until until use use was was was we well whenever whether whether which which which who who whole whom will with with woman would year yeare		21	
3	3	nyc.redstockings.1973.mainardi.marriagequestion-1.txt	nyc	redstockings	1973	972	redstockings	4	2	1968 1968 50s 60s Although Although American Armies As As By Cadillac Certainly Consciousness Free Free How I Mailer Men Men Moinordi Morrioge New Night Norman Of Potricio Question Radical Redstockings TV The The The The The The The The These They To Womens York a a a a a a a a a a a a a a a a a a abandonment about about about acceptance add admired affair again all all all all all all all allows also also also alternate always among an an an and and and and and and and and and and and and and and and and and and and and and and and and and and and antimarriage antimarriage antiwife antiwife any anymore are arose around around arrangements arrangements arrangements as as as as as as as aspects assuaging at at at at at attacks attitudes attractive available babies backwards be be be beatnik beatniks beatniks became became became became because because because because become bed been been been been been began being being benevolence best best better birth both bring brought burdens but but but by called called can can career careers case cases child childbearing children children children children childrenewas chiseier chocolates claiming classic classified clown collaborators comers comfort commitment commune communes conscience consciousness considered continue contributions convinced cooking coritrol could counterrevolutionary credo crying culture dangers debated demonstrators denying despite diapers did did did dirty discovered dishonest documented does down down drag drawbacks eating else emotional emotional ended ended enemy entire etc even even even eventually everything expense experienced exposed extramarital faithful fashionable felt felt felt feminists first foolishness for for for for for for free free free freedom freedom freedom freeloader freer friend frigid from from gained gained get getting giant go go grew guilty had had had had hand has have have have have have he he he he him hippies hippies his his his his historical hooked hopes hotly housekeeping housekeeping housewifes how humiliated husband husbands idealized if image image improvement in in in in in in in in in in in in initiated interpersonal into into into introduction is is is is is is is is is is it it it it it it it it it it it its its just just keep knew larger later laying leaving less liberation liberation life life lifestyle lifestyle like line live lived living look looking lot lot love love love love love love loved lover lucky maintain maintain maintain maintain maintained male male male man man marriage marriage marriage marriage marriage marriage marriage marriage marriage marriages married married married married married marry mass meant men men men men men men men menas mens more more most most most movement movement movement movement much multiple must neither new new newer no no not not not noted nothing nothing now obligation obvious obvious of of of of of of of of of of of of of of of of of of of off often often ofthe on on on on one one only only open open opposite oppressive or or or or or other our over ower ower peace places precedents prefer pregnant pressured previously private private problem property property proverbially pushed put racism radicals radicals raising raising rarely reality reality really rearing recipients refusal refused refutes rejected relations relationship resistant revealed revolution revolutionary rhetoric rocks said said said salary saying secondclass sentiment sessions sex sexual sexual sexual sexually shared shared she she she should singles situation sleep so so so so so some some some some something split start started step stick subculture subculture subculture subcultures support support support supremacy supremacy swinging take take testified than that that that that that that that that that that that that that that that that that the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the theexclusion their their their their their their them them them then these these they they they they they they they they they they theyd theywanted threat thus thus tied time time to to to to to to to to to to to to to to to to to to to to to topic traditional traditional trapped truth understand unliberated unnatural until up upper uptight used used various vs want wanted wanted was was was was was was was was was was was watching way ways we we we weekly welfare welfare welfare well were were were were were were were where whereas which which which who who who who who who whore wife wife wife wifes will will with with with with with with with within without without woman woman woman women women women women women women women women women women women women women women women women women women womens womens womens womens work worst would would would wouldnt wrote	mainardi	01	marriagequestion
4	4	chicago.cwlu_womankind.1972.01.01.txt	chicago	cwlu_womankind	1972	39	cwlu	5	2	1972 5 Ghots I January Womankind a bind by crowws discontent down echoes haunt laughing me my nests no of of of old past prisoned rageghost song soulw tattered the vol wanda with year yet	CWLU	01	
5	5	notesfirstyear_30.txt	nyc	notesfirstyear	1968	442	redstockings	6	2	12 12 15 1868 1868 1968 28 A AUNT All Anybody Article Association Author Baird Barnard Bill Black Blacks Blair Brown CHAUVINIST CHAUVINIST CONDEMN Chick Clair Cosmopolitan Council Cox Crusader D December December Doctors Dr Editor Even From General Girl Grace Guardian Guardian Guardian Gurley Harrington Helen In International Karl Karl Kugelmann Kugelmann LETTER LYND Law Lawrence Lawyers Le Linda Lynd Lynd MALE MONTH MONTH MOST Madame Males Marx Marx May Movement Movement National OF OF OVERHEARD Odd PAGE PUBLICATION President QUOTABLE QUOTES R0ZS Ramparts Rappaport Rappaport STAUGHTON SUPPORT Sex Single Sobel Social Staughton Staughton Stephanie THE THE TO TOM The The Too Vogue WE WE WM Well Women Womens Womens YOU a a a a abortion abortionists abortions about accuse accused after after against already and and and and and and and and any anything appear are are are are are arise arrested assert be be be because because because began begin being being being beyond bitches bulldykes but by by by can cannot case case changes child childhood chique cohabitation college complain conceptions continue corrections dare didnt discrimination do domineering elected emphasis equal etc etc exactly fair fashion fashionable feminine ferment few first flair food for for for for go great growing guerilla has has history horrible how how humanism idolizing impossible in included is is it jail job knows knows ladies lady law leftist letter letter liberation like mailing male man married martyr measured member menopause mention movement movement musing nine nor not not of of of of of of of of older on on on on on ones oppressor or our overstating performing piece placed position practice prenatal preparation problems progress prosecutes publications radical radicals rather rearing recently relegated repeal rights run say seriously served service services sex sex sexual side social social stop substantive taken than that that the the the the the the the the the the the the the the the their they this those those tired to to to to to to to to to to to told try typing ugly unfortunately we we we we were were when who who who who who who with with with within without women womens womens worse would would wouldnt write written years		30	
6	6	chicago.cwlu_womankind.1972.05.14.txt	chicago	cwlu_womankind	1972	976	cwlu	7	2	1 1970 2 2 3 4 4 5 6 7 8 A AT Also Also Amer American And And Angela Angela Angela Angelas AntiWar Asian Ask August Be Beach Black Breast Brothers Ca1if California Cancer Chicano Climate Cluchette Considering Convention Davis Davis Davis Davis Diego Diego Diego Diego Dont Dont Drumgo E Even Exam Examine Fleeta Florida From Gently George George George George Haiphong Hanoi Harris He I I I I I I If Incidentally Jackson Jackson Jackson Jackson John LOOKING Leave Lie Long Miami Miamis Most Mr My NEWS National Native Nixon Nixons Nixons Note Now One Philosophy Professor Raise Repeat Republicans Republicans Republicans San San San San Self Sit Soledad Summer THE The The The This This University Use Vietnam White With With Women Yet Your a a a a a a a a a a a a a a a a a a a a a a about absurd academic academic accusations accused acquitted act advantage affair affection afraid after after against against alarmed all all all alled alone alone also am an an an and and and and and and and and and and and and and and and any any apparently appearance are are are are area area arm arm armpit arms arms around as as as as as as assaults associated at at at attempted attention attention attorney avoid back basis bath be be be be be because because bed been before began behind behind bein being believe believes between blac black black black black bombing both bound bounds breast breast breast breast breast breast breast breasts breasts breatsbone bring brother brothers but by by c called called can can cancer case change changes changes changes charges chauvinism checkups chnages circular city clearly climate compassion continue contour country current decided deep defend defendant demonstrators described developed difference different dimpling discharge doctor doctor doctor done down down e each each efforts embar embarrassing emotions end entire equality escape escape especially everey exactly examination examination examined example experiences extend fact fantastic feel feel feel feel feel feel feel fight finally find find fingers fingers fired firm flat flat for for for for for for for for for for for for fought freedom freedom frightened from from from from from from front g gedly gentle gentle gently going going good great guard gun had hand hand hand hand has have have have have have have having head head held her her her her here him himself hot hwere ican ideas if in in in in in in in in in in in in in in indeed inner inner involved is is is is is is is is is it it it it it jury just k killed knew know l l last last later lay leave left left left left left left left life life line line long look look look love love love low lower lucky lump lump lumps lurking male may men men men menstrual method method mirror month motions move movement movement much much murdering must my my my needs ngela nipple nipple nipple nipple nipple nipples no normal not not occurs of of of of of of of of of of of of of of of of of of of of of of of of of of of of of of of of of on on on on one one only ont oppressed oppressed or or or or or or or or or or other other outer outer outer outward over own part part part passionThis passions people period pg pillow planned policy politica political political portion portion portion position possibility preserve press press pressure pressure principles principles prison prison prison prison prison procedure protect puckering purchasing put rassing recently relaxed responses resting revolutionary revolutionary revolutionary revolutionary ridge right right right rights same same same see see sending sexy shape she shootout shoulder side sides since since sinister situation size skin slightly small so so society stand stand starting state state state states stay still stony story struggle summer supposed sure surface take teach tell that that that that that the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the their themselves these they thicenking thickening things this this this this three three tissue to to to to to to to to to to to to to to to to to to to to to to to to to to to to together too toward towel tried tried troops trump try try trying two unconstitutional under under under understandable until up up upper upper use used using using utterly utterly very violation walls want was was weather week welcome welcome well were were whether who wild will will wish with with with woman woman woman womankind women women work working would would would xtension you you you you you you you your your your your your your your your your your your your your your your your your your your your your your your	CWLU	14	
7	7	nyc.redstockings.1973.sarachild.programforconsciousnessraising-1.txt	nyc	redstockings	1973	785	redstockings	8	2	1 2 3 A A A APPENDIX And CONSCIOUSNESSRAISING Cross Evaluating Expressing Expressing FEMINIST FOR Feelings Feelings Finding Going I968 In Kathie Lets MATERIALS November Now Ongoing Our Our Our PROGRAM Personal Personal Recalling Redstockings Relating SOURCE Sarachild Speaking T The The This We We Were Were Were a a a a a a a a a a a a about about about about abused acting action action action action actions against aggression ahead all along also always analyzing and and and and and and and and and and and and and and and and and and and and and and and and and and and anyway anyway are are are are are are are arent around around around as as as assume assume assumes assumption at at at at at at at available awaken b b bad be be be be beautiful because been been been been before begin begin beginning being being being best best best better better bitch bitching bitter both both buried but by by c c can cell class class common consciousness consciousness consciousness consciousnessraising consciousnessraising control control correctly correctly correctly culture d decide defense desire develop different down emotions emotions etc even examination examine exciting expansion experience experiences experiences fact fact fear feeling feeling feeling feeling feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings feelings first first first first fits following for for for for form form from future generalizing generally get given given go go go good greatest group group groups had happen happen has has have have have help historically history history history hope how human hysterical idea ideas in in in in in in in in in in individual injustice into is is is is is is is it it its just key key kind kind knowledge l l lead lead lead lead learn learned led let let let lets liberation lie like lives look male manner mass mass mass matter may maybe mean men methods might more more more more most most movement new new new new new now occurred of of of of of of of of of of of of of of of of of of of of of on on on on on on oneshunch only oppressed or or or other others otherwise our our our our our our our our our our our our our our our our our our our our our our our our our our our our our our ourselves ourselves ourselves ourselves outline people people perceive perceptions personally planned politicm pool possible power practice present primary program program puts questions random rather reason recognition reflecting responding revealing revolve right room root say saying saying saying saying scale see seeds selfassertion selfdefense selfinterest session sex sexual share sharing should should since situation situation skeleton so so society something something something something something something something something something something stage stay stay stifle still stop strategical strength task telling testimony testimony testimony than that that that that that that that that that that that that that that that that that that that that that that that that that the the the the the the the the the the the the the their their their their their their their them them them themselves then then then then theory theory theory theory there therefore they they things this this this those those time time time time to to to to to to to to to to to to to to to to to to to to to too took top top top topics touch touch touch touch toward tried try underneath underneath underneath underneath underneath understand undoing us us us us us us us us us us used very want was was we we we we we we we we we we we we we weapon weaponhysterics were werent what when when when where where which which which which whining who will will will will will with with with with with with with with with with women women women women women world worth would	sarachild	01	programforconsciousnessraising
8	8	chicago.cwlu_womankind.1972.11.11.txt	chicago	cwlu_womankind	1972	985	cwlu	9	2	1867 1972 A AND ARTICLES Adopt Affiar All Amazon America America America Americas Anatomy And Angry Another Are Articles Attention Author BY BanglaDesh Book COLLEGEEDUCATED Contemporary Contemporary Crazy Cynthia DIGEST Del Drexler Early Fables Fat Fear Feature Feisty Feminist Fights For Getting Have High Hollywood Home Housewives How I I I I I972 If In Ireland It It Jill Johnstons Join LIVELY Lesbian Love Lycra Lyon MS MS MS MS MS MS MS MS MS MS Many Martin Michigan Moment More More Mother Ms North O October One One Other Other Ozick PERSONAL Pantyhose Phyllis Poem READERS Return Rosalyn Sexuality Shirt Song Specifically Success Sue TV The The The The The The The The The The The The The There They Thirdly Topic Truth University Vietnam We While Why Women You a a a a a a a a a a a a a a a a a a a a a a a a a abilities about about about about about about about about act action again against aims all all all all all also an an an an an analytical and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and anecdotes appeal appeal are are are are are are are article article article article article article articles articles articles articles articles articles articles articles articles articles articles as as as as as as as as at at at at at at audience author authors avoids back based basically be be be because before before began benefit bias bikes boredom born broader brought but by by by by by by can cant carries cars cautious changes changing choice class class class class class class class collective college college college college collegeeducated commentary common conditions confidence confine content continue continues create creative crimination culture daily dangerous day deal depth dictionary didnt dim dis discussing does does done double doubt dull dull e editor editors educated education elitism else employees employment end enjoyable equal every example experience experiences fact factory factory fan featuring feed feel female few fight fighting films for for for for for for for for forum fringe from full garment get get gives go gone group groups growing guest guide had had half has has have have he help her here here heterosexual historical hits housewives how how hree ideas if implied imply in in in in in in in in in in in in in in in include indicate individual individual instance instead intellectual interesting interesting into invited is is is is is is is is is is issues it it it item its itself job jobs journal kids kind knowing knowing lady lesbian lesbian lesbianism less letters liberate liberated liberation lies lies life lik like like limited line list literature little lively lives lives loneliness long looked lot lunchon machines machines made magazine magazine magazine magazine magazine magazine magazines magazines maintains many many marriage marriages married meaning meantime mentioned message middle middle middle more motherhood movement movement my myths n name national national never new no not not not not not not not not notice noticed nurse nurses occasional of of of of of of of of of of of of of of of of of of of of of of of of of of of of of offered on on on on on on on once only operators oppress oppressive or or organizations other our our our out overly parts personal pit portraying present pretending priority privilege program prominent prospects provie publications publishing put r r radical read read read read read readers readers really references regularly reminded responding responsibility rest rocknroll saleswomen same school secretary sections see see seems selected self selfdestruction send sensa serious sewing sexist show sisters small smarts snobbery society society some sour speak speake spring stay stereotypes strike struggles study stupidity subject such such suffering suggests suit t tackles take talking telephone that that that that that that that the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the their their their them then they they those though time tional to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to tracking typical uncomfortable undergraduates up us us use useful usually values victims vocabulary waitress waitresses walk want wants was we we we well well wellwritten went where where while while who whole wide with with with with woman woman women women women women women women women women women women women women women women women women womens womens womens womens womens womens womens womens womens words work work workers workers working working would would writer writers written written written you you young	CWLU	11	
9	9	chicago.cwlu_womankind.1972.03.20.txt	chicago	cwlu_womankind	1972	369	cwlu	10	2	Above CWLU CWLU CWLU Chicago Chicago Discus Liberation Sharing Some Some Some The The This Union WOMANKIND WOMANKIND We We We We We We Who Why WomankIND Women Womens a about about about affect all all all all all all an and and and and and and and and and and and and and and and any are are are are are are are around articles as as as begin believe belong better by can can care cartoons cause change changes children clerical common concerned condi conditions contact contributions contributions control divorced doing drawings each emotions ending experiences experiences f family feelings fight films find for for for from from from get group have help help hoPe homeand hope how ideas ideas imposed in in in in in in incompetence individual individual inferiority invite is is issues it job kind know lack lead lead learn learn learn let liberation literature lives lives many married men mothers much not o of of of of of of of of of of of of of of offer offers office on one oppress oppression or organization other other other our our our our our our our our our our ours out out over pain pictures place posters problems problems problems provides reach realization realize reproduction school see send send sexuality sharing simply single sion sisters sisters social some some some some some speakers specific stay students suffering take talk teachers temporary that that that that the the the the the their their them they they things things think this those through through tions to to to to to to to to to to to to to to to to to to to together towards understand upon us us us us us us us us us us us want want ways we we welcome what what which which which who who will with with wo women women women women women women women women women womens work work workers	CWLU	20	
